Title,Authors,Topics,Abstract,Code,Dataset,PDF,Paper Page
Embracing Massive Medical Data,"Chou, Yu-Cheng;Zhou, Zongwei;Yuille, Alan",Clinical applications - Abdomen; Image Segmentation; Machine Learning - Continual Learning; Machine Learning - Data Efficient Learning; Modalities - CT,"As massive medical data become available with an increasing number of scans, expanding classes, and varying sources, prevalent training paradigms–where AI is trained with multiple passes over fixed, finite datasets–face significant challenges. First, training AI all at once on such massive data is impractical as new scans/sources/classes continuously arrive. Second, training AI continuously on new scans/sources/classes can lead to catastrophic forgetting, where AI forgets old data as it learns new data, and vice versa. To address these two challenges, we propose an online learning method that enables training AI from massive medical data. Instead of repeatedly training AI on randomly selected data samples, our method identifies the most significant samples for the current AI model based on their data uniqueness and prediction uncertainty, then trains the AI on these selective data samples. Compared with prevalent training paradigms, our method not only improves data efficiency by enabling training on continual data streams, but also mitigates catastrophic forgetting by selectively training AI on significant data samples that might otherwise be forgotten, outperforming by 15% in Dice score for multi-organ and tumor segmentation.",https://github.com/MrGiovanni/OnlineLearning,https://huggingface.co/datasets/AbdomenAtlas/AbdomenAtlas1.0Mini,https://papers.miccai.org/miccai-2024/paper/0065_paper.pdf,https://papers.miccai.org/miccai-2024/265-Paper0065.html
Embryo Graphs: Predicting Human Embryo Viability from 3D Morphology,"He, Chloe;Karpavičiūtė, Neringa;Hariharan, Rishabh;Jacques, Céline;Chambost, Jérôme;Malmsten, Jonas;Zaninovic, Nikica;Wouters, Koen;Fréour, Thomas;Hickman, Cristina;Vasconcelos, Francisco","Computational (Integrative) Pathology; Clinical applications - Fetal Imaging; Computer Aided Diagnosis, Treatment Response, and Outcome Prediction; Image Segmentation; Modalities - Microscopy","Embryo selection is a critical step in the process of in-vitro fertilisation in which embryologists choose the most viable embryos for transfer into the uterus. In recent years, numerous works have used computer vision to perform embryo selection. However, many of these works have neglected the fact that the embryo is a 3D structure, instead opting to analyse embryo images captured at a single focal plane. In this paper we present a method for the 3D reconstruction of cleavage-stage human embryos. Through a user study, we validate that our reconstructions align with expert assessments. Furthermore, we demonstrate the utility of our approach by generating graph representations that capture biologically relevant features of the embryos. In pilot experiments, we train a graph neural network on these representations and show that it outperforms existing methods in predicting live birth from euploid embryo transfers. Our findings suggest that incorporating 3D reconstruction and graph-based analysis can improve automated embryo selection.",https://github.com/chlohe/embryo-graphs,,https://papers.miccai.org/miccai-2024/paper/1468_paper.pdf,https://papers.miccai.org/miccai-2024/266-Paper1468.html
EMF-former: An Efficient and Memory-Friendly Transformer for Medical Image Segmentation,"Hao, Zhaoquan;Quan, Hongyan;Lu, Yinbin",Image Segmentation; Machine Learning - Attention models; Modalities - MRI,"Medical image segmentation is of significant importance for computer-aided diagnosis. In this task, methods based on Convolutional Neural Networks(CNNs) have shown good performance in extracting local features. However, they cannot capture global dependencies, which is crucial for medical image. On the other hand, Transformer-based methods can establish global dependencies through self-attention, providing a supplement to local convolution. However, the expensive matrix multiplication in the self-attention of a vanilla transformer and the memory usage is still a bottleneck. In this work, we propose a segmentation model named EMF-former. By combining DWConv, channel shuffle and PWConv, we design a Depthwise Separable Shuffled Convolution Module(DSPConv) to reduce the parameter count of convolutions. Additionally, we employ an efficient Vector Aggregation Attention (VAA) that substitutes key-value interactions with element-wise multiplication after broadcasting two vectors to reduce computational complexity. Moreover, we substitute the parallel multi-head attention module with the Serial Multi-Head Attention Module (S-MHA) to reduce feature redundancy and memory usage in multi-head attention. Combining the above modules, EMF-former could perform the medical image segmentation efficiently with fewer parameter counts, lower computational complexity and lower memory usage while preserving segmentation accuracy. We conduct experimental evaluations on ACDC and Hippocampus dataset, achieving mIOU values of 80.5% and 78.8%, respectively.",,,https://papers.miccai.org/miccai-2024/paper/1181_paper.pdf,https://papers.miccai.org/miccai-2024/267-Paper1181.html
EM-Net: Efficient Channel and Frequency Learning with Mamba for 3D Medical Image Segmentation,"Chang, Ao;Zeng, Jiajun;Huang, Ruobing;Ni, Dong",Image Segmentation; Machine Learning - Attention models; Machine Learning - Data Efficient Learning; Machine Learning - Model Generalizability / Federated Learning; Modalities - CT,"Convolutional neural networks have primarily led 3D medical image segmentation but may be limited by small receptive fields. Transformer models excel in capturing global relationships through self-attention but are challenged by high computational costs at high resolutions. Recently, Mamba, a state space model, has emerged as an effective approach for sequential modeling. Inspired by its success, we introduce a novel Mamba-based 3D medical image segmentation model called EM-Net. It not only efficiently captures attentive interaction between regions by integrating and selecting channels, but also effectively utilizes frequency domain to harmonize the learning of features across varying scales, while accelerating training speed. Comprehensive experiments on two challenging multi-organ datasets with other state-of-the-art (SOTA) algorithms show that our method exhibits better segmentation accuracy while requiring nearly half the parameter size of SOTA models and 2x faster training speed. Our code is publicly available at https://github.com/zang0902/EM-Net.",https://github.com/zang0902/EM-Net,,https://papers.miccai.org/miccai-2024/paper/1923_paper.pdf,https://papers.miccai.org/miccai-2024/268-Paper1923.html
Enable the Right to be Forgotten with Federated Client Unlearning in Medical Imaging,"Deng, Zhipeng;Luo, Luyang;Chen, Hao",Machine Learning - Model Generalizability / Federated Learning,"The right to be forgotten, as stated in most data regulations, poses an underexplored challenge in federated learning (FL), leading to the development of federated unlearning (FU). However, current FU approaches often face trade-offs between efficiency, model performance, forgetting efficacy, and privacy preservation. In this paper, we delve into the paradigm of Federated Client Unlearning to guarantee a client the right to erase the contribution or the influence, introducing the first FU framework in medical imaging. In the unlearning process of a client, the proposed Model-Contrastive Unlearning marks a pioneering step towards feature-level unlearning, and Frequency-Guided Memory Preservation ensures smooth forgetting of local knowledge while maintaining the generalizability of the trained global model, thus avoiding performance compromises and guaranteeing rapid post-training. We evaluate our FCU framework on two public medical image datasets, including Intracranial hemorrhage diagnosis and skin lesion diagnosis, demonstrating our proposed framework outperforms other state-of-the-art FU frameworks working, with an expected speed-up of 10-15 times compared with retraining from scratch. The code and organized datasets will be made public.",https://github.com/dzp2095/FCU,https://www.kaggle.com/datasets/shonenkov/isic2018;https://www.kaggle.com/c/rsna-intracranial-hemorrhage-detection,https://papers.miccai.org/miccai-2024/paper/1632_paper.pdf,https://papers.miccai.org/miccai-2024/269-Paper1632.html
Enabling Text-free Inference in Language-guided Segmentation of Chest X-rays via Self-guidance,"Ye, Shuchang;Meng, Mingyuan;Li, Mingjian;Feng, Dagan;Kim, Jinman",Image Segmentation,"Segmentation of infected areas in chest X-rays is pivotal for facilitating the accurate delineation of pulmonary structures and pathological anomalies. Recently, multi-modal language-guided image segmentation methods have emerged as a promising solution for chest X-rays where the clinical text reports, depicting the assessment of the images, are used as guidance. Nevertheless, existing language-guided methods require clinical reports alongside the images, and hence, they are not applicable for use in image segmentation in a decision support context, but rather limited to retrospective image analysis after clinical reporting has been completed. In this study, we propose a self-guided segmentation framework (SGSeg) that leverages language guidance for training (multi-modal) while enabling text-free inference (uni-modal), which is the first that enables text-free inference in language-guided segmentation. We exploit the critical location information of both pulmonary and pathological structures depicted in the text reports and introduce a novel localization-enhanced report generation (LERG) module to generate clinical reports for self-guidance. Our LERG integrates an object detector and a location-based attention aggregator, weakly-supervised by a location-aware pseudo-label extraction module. Extensive experiments on a well-benchmarked QaTa-COV19 dataset demonstrate that our SGSeg achieved superior performance than existing uni-modal segmentation methods and closely matched the state-of-the-art performance of multi-modal language-guided segmentation methods.",https://github.com/ShuchangYe-bib/SGSeg,https://www.kaggle.com/datasets/aysendegerli/qatacov19-dataset,https://papers.miccai.org/miccai-2024/paper/0556_paper.pdf,https://papers.miccai.org/miccai-2024/270-Paper0556.html
Endo-4DGS: Endoscopic Monocular Scene Reconstruction with 4D Gaussian Splatting,"Huang, Yiming;Cui, Beilei;Bai, Long;Guo, Ziqi;Xu, Mengya;Islam, Mobarakol;Ren, Hongliang",Surgical Visualization and Mixed/Augmented/Virtual Reality; Machine Learning - Other; Modalities - Endoscope,"In the realm of robot-assisted minimally invasive surgery, dynamic scene reconstruction can significantly enhance downstream tasks and improve surgical outcomes. Neural Radiance Fields (NeRF)-based methods have recently risen to prominence for their exceptional ability to reconstruct scenes but are hampered by slow inference speed, prolonged training, and inconsistent depth estimation. Some previous work utilizes ground truth depth for optimization but it is hard to acquire in the surgical domain. To overcome these obstacles, we present Endo-4DGS, a real-time endoscopic dynamic reconstruction approach that utilizes 3D Gaussian Splatting (GS) for 3D representation. Specifically, we propose lightweight MLPs to capture temporal dynamics with Gaussian deformation fields. To obtain a satisfactory Gaussian Initialization, we exploit a powerful depth estimation foundation model, Depth-Anything, to generate pseudo-depth maps as a geometry prior. We additionally propose confidence-guided learning to tackle the ill-pose problems in monocular depth estimation and enhance the depth-guided reconstruction with surface normal constraints and depth regularization. Our approach has been validated on two surgical datasets, where it can effectively render in real-time, compute efficiently, and reconstruct with remarkable accuracy. Our code is available at https://github.com/lastbasket/Endo-4DGS.",https://github.com/lastbasket/Endo-4DGS,,https://papers.miccai.org/miccai-2024/paper/0223_paper.pdf,https://papers.miccai.org/miccai-2024/271-Paper0223.html
EndoDAC: Efficient Adapting Foundation Model for Self-Supervised Depth Estimation from Any Endoscopic Camera,"Cui, Beilei;Islam, Mobarakol;Bai, Long;Wang, An;Ren, Hongliang",Surgical Visualization and Mixed/Augmented/Virtual Reality; Image-Guided Interventions and Surgery; Machine Learning - Foundation Models; Machine Learning - Semi-/Weakly-/Un-/Self-supervised Representation Learning; Modalities - Endoscope,"Depth estimation plays a crucial role in various tasks within endoscopic surgery, including navigation, surface reconstruction, and augmented reality visualization. Despite the significant achievements of foundation models in vision tasks, including depth estimation, their direct application to the medical domain often results in suboptimal performance. This highlights the need for efficient adaptation methods to adapt these models to endoscopic depth estimation. We propose Endoscopic Depth Any Camera (EndoDAC) which is an efficient self-supervised depth estimation framework that adapts foundation models to endoscopic scenes. Specifically, we develop the Dynamic Vector-Based Low-Rank Adaptation (DV-LoRA) and employ Convolutional Neck blocks to tailor the foundational model to the surgical domain, utilizing remarkably few trainable parameters. Given that camera information is not always accessible, we also introduce a self-supervised adaptation strategy that estimates camera intrinsics using the pose encoder. Our framework is capable of being trained solely on monocular surgical videos from any camera, ensuring minimal training costs. Experiments demonstrate that our approach obtains superior performance even with fewer training epochs and unaware of the ground truth camera intrinsics. Code is available at https://github.com/BeileiCui/EndoDAC.",https://github.com/BeileiCui/EndoDAC,https://hamlyn.doc.ic.ac.uk/vision/;https://endovissub2019-scared.grand-challenge.org/,https://papers.miccai.org/miccai-2024/paper/0225_paper.pdf,https://papers.miccai.org/miccai-2024/272-Paper0225.html
EndoFinder: Online Image Retrieval for Explainable Colorectal Polyp Diagnosis,"Yang, Ruijie;Zhu, Yan;Fu, Peiyao;Zhang, Yizhe;Wang, Zhihua;Li, Quanlin;Zhou, Pinghong;Yang, Xian;Wang, Shuo",Machine Learning - Interpretability / Explainability; Clinical applications - Oncology; Modalities - Endoscope,"Determining the necessity of resecting malignant polyps during colonoscopy screen is crucial for patient outcomes, yet challenging due to the time-consuming and costly nature of histopathology examination. While deep learning-based classification models have shown promise in achieving optical biopsy with endoscopic images, they often suffer from a lack of explainability. To overcome this limitation, we introduce EndoFinder, a content-based image retrieval framework to find the ‘digital twin’ polyp in the reference database given a newly detected polyp. The clinical semantics of the new polyp can be inferred referring to the matched ones. EndoFinder pioneers a polyp-aware image encoder that is pre-trained on a large polyp dataset in a self-supervised way, merging masked image modeling with contrastive learning. This results in a generic embedding space ready for different downstream clinical tasks based on image retrieval. We validate the framework on polyp re-identification and optical biopsy tasks, with extensive experiments demonstrating that EndoFinder not only achieves explainable diagnostics but also matches the performance of supervised classification models. EndoFinder’s reliance on image retrieval has the potential to support diverse downstream decision-making tasks during real-time colonoscopy procedures.",https://github.com/ku262/EndoFinder,https://github.com/ku262/EndoFinder,https://papers.miccai.org/miccai-2024/paper/1282_paper.pdf,https://papers.miccai.org/miccai-2024/273-Paper1282.html
EndoGSLAM: Real-Time Dense Reconstruction and Tracking in Endoscopic Surgeries using Gaussian Splatting,"Wang, Kailing;Yang, Chen;Wang, Yuehao;Li, Sikuang;Wang, Yan;Dou, Qi;Yang, Xiaokang;Shen, Wei",Modalities - Endoscope; Surgical Visualization and Mixed/Augmented/Virtual Reality,"Precise camera tracking, high-fidelity 3D tissue reconstruction, and real-time online visualization are critical for intrabody medical imaging devices such as endoscopes and capsule robots. However, existing SLAM (Simultaneous Localization and Mapping) methods often struggle to achieve both complete high-quality surgical field reconstruction and efficient computation, restricting their intraoperative applications among endoscopic surgeries. In this paper, we introduce EndoGSLAM, an efficient SLAM approach for endoscopic surgeries, which integrates streamlined Gaussian representation and differentiable rasterization to facilitate over 100 fps rendering speed during online camera tracking and tissue reconstructing. Extensive experiments show that EndoGSLAM achieves a better trade-off between intraoperative availability and reconstruction quality than traditional or neural SLAM approaches, showing tremendous potential for endoscopic surgeries.",https://github.com/Loping151/EndoGSLAM,https://drive.google.com/drive/folders/1wT4cILcbf4TUlWlmK_wJPiIrZ2AqZ43W?usp=drive_link,https://papers.miccai.org/miccai-2024/paper/1232_paper.pdf,https://papers.miccai.org/miccai-2024/274-Paper1232.html
Endora: Video Generation Models as Endoscopy Simulators,"Li, Chenxin;Liu, Hengyu;Liu, Yifan;Feng, Brandon Y.;Li, Wuyang;Liu, Xinyu;Chen, Zhen;Shao, Jing;Yuan, Yixuan",Modalities - Video; Modalities - Endoscope; Surgical Data Science; Surgical Scene Understanding; Surgical Visualization and Mixed/Augmented/Virtual Reality,"Generative models hold promise for revolutionizing medical education, robot-assisted surgery, and data augmentation for machine learning. Despite progress in generating 2D medical images, the complex domain of clinical video generation has largely remained untapped. This paper introduces Endora, an innovative approach to generate medical videos to simulate clinical endoscopy scenes. We present a novel generative model design that integrates a meticulously crafted video transformer with advanced 2D vision foundation model priors, explicitly modeling spatial-temporal dynamics during video generation. We also pioneer the first public benchmark for endoscopy simulation with video generation models, adapting existing state-of-the-art methods for this endeavor. Endora demonstrates exceptional visual quality in generating endoscopy videos, surpassing state-of-the-art methods in extensive testing. Moreover, we explore how this endoscopy simulator can empower downstream video analysis tasks and even generate 3D medical scenes with multi-view consistency. In a nutshell, Endora marks a notable breakthrough in the deployment of generative AI for clinical endoscopy research, setting a substantial stage for further advances in medical content generation. Project page: https://endora-medvidgen.github.io/.",https://endora-medvidgen.github.io/;https://github.com/CUHK-AIM-Group/Endora,,https://papers.miccai.org/miccai-2024/paper/0470_paper.pdf,https://papers.miccai.org/miccai-2024/275-Paper0470.html
EndoSelf: Self-Supervised Monocular 3D Scene Reconstruction of Deformable Tissues with Neural Radiance Fields on Endoscopic Videos,"Li, Wenda;Hayashi, Yuichiro;Oda, Masahiro;Kitasaka, Takayuki;Misawa, Kazunari;Mori, Kensaku",Image-Guided Interventions and Surgery; Image Formation and Reconstruction; Machine Learning - Semi-/Weakly-/Un-/Self-supervised Representation Learning; Modalities - Endoscope; Modalities - Video,"Neural radiance field has recently emerged as a powerful representation to reconstruct deformable tissues from endoscopic videos. Previous methods mainly focus on depth-supervised approaches based on endoscopic datasets. As additional information, depth values were proven important in reconstructing deformable tissues by previous methods. However, collecting a large number of datasets with accurate depth values limits the applicability of these approaches for endoscopic scenes. To address this issue, we propose a novel self-supervised monocular 3D scene reconstruction method based on neural radiance fields without prior depth as supervision. We consider the monocular 3D reconstruction based on two approaches: ray-tracing-based neural radiance fields and structure-from-motion-based photogrammetry. We introduce structure from motion framework and leverage color values as a supervision to complete the self-supervised learning strategy. In addition, we predict the depth values from neural radiance fields and enforce the geometric constraint for depth values from adjacent views. Moreover, we propose a looped loss function to fully explore the temporal correlation between input images. The experimental results showed that the proposed method without prior depth outperformed the previous depth-supervised methods on two endoscopic datasets. Our code is available.",https://github.com/MoriLabNU/EndoSelf,,https://papers.miccai.org/miccai-2024/paper/1656_paper.pdf,https://papers.miccai.org/miccai-2024/276-Paper1656.html
EndoSparse: Real-Time Sparse View Synthesis of Endoscopic Scenes using Gaussian Splatting,"Li, Chenxin;Feng, Brandon Y.;Liu, Yifan;Liu, Hengyu;Wang, Cheng;Yu, Weihao;Yuan, Yixuan",Surgical Visualization and Mixed/Augmented/Virtual Reality; Image Formation and Reconstruction; Modalities - Endoscope,"3D reconstruction of biological tissues from a collection of endoscopic images is a key to unlock various important downstream surgical applications with 3D capabilities. Existing methods employ various advanced neural rendering techniques for photorealistic view synthesis, but they often struggle to recover accurate 3D representations when only sparse observations are available, which is often the case in real-world clinical scenarios. To tackle this sparsity challenge, we propose a framework leveraging the prior knowledge from multiple foundation models during the reconstruction process. Experimental results indicate that our proposed strategy significantly improves the geometric and appearance quality under challenging sparse-view conditions, including using only three views. In rigorous benchmarking experiments against the state-of-the-art methods, EndoSparse achieves superior results in terms of accurate geometry, realistic appearance, and rendering efficiency, confirming the robustness to the sparse-view limitation in endoscopic reconstruction. EndoSparse signifies a steady step towards the practical deployment of neural 3D reconstruction in real-world clinical scenarios. Project page: \https://endo-sparse.github.io/.","https://endo-sparse.github.io/
https://github.com/CUHK-AIM-Group/EndoSparse",,https://papers.miccai.org/miccai-2024/paper/0791_paper.pdf,https://papers.miccai.org/miccai-2024/277-Paper0791.html
EndoUIC: Promptable Diffusion Transformer for Unified Illumination Correction in Capsule Endoscopy,"Bai, Long;Chen, Tong;Tan, Qiaozhi;Nah, Wan Jun;Li, Yanheng;He, Zhicheng;Yuan, Sishen;Chen, Zhen;Wu, Jinlin;Islam, Mobarakol;Li, Zhen;Liu, Hongbin;Ren, Hongliang","Image Formation and Reconstruction; Clinical applications - Abdomen; Computer Aided Diagnosis, Treatment Response, and Outcome Prediction; Modalities - Endoscope","Wireless Capsule Endoscopy (WCE) is highly valued for its non-invasive and painless approach, though its effectiveness is compromised by uneven illumination from hardware constraints and complex internal dynamics, leading to overexposed or underexposed images. While researchers have discussed the challenges of low-light enhancement in WCE, the issue of correcting for different exposure levels remains underexplored. To tackle this, we introduce EndoUIC, a WCE unified illumination correction solution using an end-to-end promptable diffusion transformer (DiT) model. In our work, the illumination prompt module shall navigate the model to adapt to different exposure levels and perform targeted image enhancement, in which the Adaptive Prompt Integration (API) and Global Prompt Scanner (GPS) modules shall further boost the concurrent representation learning between the prompt parameters and features. Besides, the U-shaped restoration DiT model shall capture the long-range dependencies and contextual information for unified illumination restoration. Moreover, we present a novel Capsule-endoscopy Exposure Correction (CEC) dataset, including ground-truth and corrupted image pairs annotated by expert photographers. Extensive experiments against a variety of state-of-the-art (SOTA) methods on four datasets showcase the effectiveness of our proposed method and components in WCE illumination restoration, and the additional downstream experiments further demonstrate its utility for clinical diagnosis and surgical assistance. The code and the proposed dataset are available at github.com/longbai1006/EndoUIC.",https://github.com/longbai1006/EndoUIC,https://mycuhk-my.sharepoint.com/:u:/g/personal/1155161502_link_cuhk_edu_hk/EZuLCQk1SjRMr7L6pIpiG5kBwhcMGp1hB_g73lySKlVUjA?e=g84Zl8;https://data.mendeley.com/datasets/3j3tmghw33/1;https://mycuhk-my.sharepoint.com/:u:/g/personal/1155161502_link_cuhk_edu_hk/EYtX3vMBWE1KizB1scvGOkgBzG4JW5SjTMAnJuxZTUAwdg?e=gbdyuR;https://mycuhk-my.sharepoint.com/:u:/g/personal/1155161502_link_cuhk_edu_hk/EZ_Dz7G4J4hBpDKn3YPng6cByGmdGt1z2Qd51fZsmv6DoA?e=veMC5d,https://papers.miccai.org/miccai-2024/paper/0221_paper.pdf,https://papers.miccai.org/miccai-2024/278-Paper0221.html
Energy-Based Controllable Radiology Report Generation with Medical Knowledge,"Hou, Zeyi;Yan, Ruixin;Yan, Ziye;Lang, Ning;Zhou, Xiuzhuang","Computer Aided Diagnosis, Treatment Response, and Outcome Prediction; Machine Learning - Other; Modalities - other","Automated generation of radiology reports from chest X-rays has the potential to substantially reduce the workload of radiologists. Recent advances in report generation using deep learning algorithms have achieved significant results, benefiting from the incorporation of medical knowledge. However, incorporation of additional knowledge or constraints in existing models often require either altering network structures or task-specific fine-tuning. In this paper, we propose an energy-based controllable report generation method, named ECRG. Specifically, our method directly utilizes diverse off-the-shelf medical expert models or knowledge to design energy functions, which are integrated into pre-trained report generation models during the inference stage, without any alterations to the network structure or fine-tuning. We also propose an acceleration algorithm to improve the efficiency of sampling the complex multi-modal distribution of report generation. ECRG is model-agnostic and can be readily used for other pre-trained report generation models. Two cases are presented on the design of energy functions tailored to medical expert systems and knowledge. The experiments on widely used datasets Chest ImaGenome v1.0.0 and MIMIC-CXR demonstrate the effectiveness of our proposed approach.",,,https://papers.miccai.org/miccai-2024/paper/0765_paper.pdf,https://papers.miccai.org/miccai-2024/279-Paper0765.html
Enhanced Scale-aware Depth Estimation for Monocular Endoscopic Scenes with Geometric Modeling,"Wei, Ruofeng;Li, Bin;Chen, Kai;Ma, Yiyao;Liu, Yunhui;Dou, Qi",Medical Robotics and Haptics; Surgical Scene Understanding,"Scale-aware monocular depth estimation poses a significant challenge in computer-aided endoscopic navigation. However, existing depth estimation methods that do not consider the geometric priors struggle to learn the absolute scale from training with monocular endoscopic sequences. Additionally, conventional methods face difficulties in accurately estimating details on tissue and instruments boundaries. In this paper, we tackle these problems by proposing a novel enhanced scale-aware framework that only uses monocular images with geometric modeling for depth estimation. Specifically, we first propose a multi-resolution depth fusion strategy to enhance the quality of monocular depth estimation. To recover the precise scale between relative depth and real-world values, we further calculate the 3D poses of instruments in the endoscopic scenes by algebraic geometry based on the image-only geometric primitives (i.e., boundaries and tip of instruments). Afterwards, the 3D poses of surgical instruments enable the scale recovery of relative depth maps. By coupling scale factors and relative depth estimation, the scale aware depth of the monocular endoscopic scenes can be estimated. We evaluate the pipeline on in-house endoscopic surgery videos and simulated data. The results demonstrate that our method can learn the absolute scale with geometric modeling and accurately estimate scale-aware depth for monocular scenes. Code is available at: https://github.com/med-air/MonoEndoDepth",https://github.com/med-air/MonoEndoDepth,,https://papers.miccai.org/miccai-2024/paper/1856_paper.pdf,https://papers.miccai.org/miccai-2024/280-Paper1856.html
Enhanced-quickDWI: Achieving equivalent clinical quality by denoising heavily sub-sampled diffusion-weighted imaging data,"Zormpas-Petridis, Konstantinos;Candito, Antonio;Messiou, Christina;Koh, Dow-Mu;Blackledge, Matthew D.",Clinical applications - Oncology; Image Formation and Reconstruction; Machine Learning - Other; Modalities - MRI,"Whole-body diffusion-weighted imaging (DWI) is a sensitive tool for assessing the spread of metastatic bone malignancies. It offers voxel-wise calculation of apparent diffusion coefficient (ADC) which correlates with tissue cellularity, providing a potential imaging biomarker for tumour re-sponse assessment. However, DWI is an inherently noisy technique requiring many signal aver-ages over multiple b-values, leading to times of up to 30 minutes for a whole-body exam. We present a novel neural network implicitly designed to provide high-quality images from heavily sub-sampled diffusion data (only 1 signal average) which allow whole-body acquisitions of ~5 minutes. We demonstrate that our network can achieve equivalent quality to the clinical b-value and ADC images in a radiological multi-reader study of 100 patients for whole-body and abdo-men-pelvis data. We also achieved good agreement to the quantitative values of clinical images within multi-lesion segmentations in 16 patients compared to a previous approach.",,,https://papers.miccai.org/miccai-2024/paper/3447_paper.pdf,https://papers.miccai.org/miccai-2024/281-Paper3447.html
Enhancing Federated Learning Performance Fairness via Collaboration Graph-based Reinforcement Learning,"Xia, Yuexuan;Ma, Benteng;Dou, Qi;Xia, Yong","Machine Learning - Model Generalizability / Federated Learning; Computer Aided Diagnosis, Treatment Response, and Outcome Prediction; Machine Learning - Algorithmic Fairness","Federated learning has recently developed into a pivotal distributed learning paradigm, wherein a server aggregates numerous client-trained models into a global model without accessing any client data directly. It is acknowledged that the impact of statistical heterogeneity in client local data on the pace of global model convergence, but it is often underestimated that this heterogeneity also engenders a biased global model with notable variance in accuracy across clients. Contextually, the prevalent solutions entail modifying the optimization objective. However, these solutions often overlook implicit relationships, such as the pairwise distances of site data distributions, which makes pairwise exclusive or synergistic optimization among client models. Such optimization conflicts compromise the efficacy of earlier methods, leading to performance imbalance or even negative transfer. To tackle this issue, we propose a novel aggregation strategy called Collaboration Graph-based Reinforcement Learning (FedGraphRL). By deploying a reinforcement learning (RL) agent equipped with a multi-layer adaptive graph convolutional network (AGCN) on the server-side, we can learn a collaboration graph from client state vectors, revealing the collaborative relationships among clients during optimization. Guided by an introduced reward that balances fairness and performance, the agent allocates aggregation weights, thereby promoting automated decision-making and improvements in fairness. The experimental results on two real-world multi-center medical datasets suggest the effectiveness and superiority of the proposed FedGraphRL.",,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/DBW86T;https://www.kaggle.com/competitions/aptos2019-blindness-detection;https://github.com/deepdrdoc/DeepDRiD;https://csyizhou.github.io/FGADR/;https://www.adcis.net/en/third-party/e-ophtha/;https://ieee-dataport.org/open-access/indian-diabetic-retinopathy-image-dataset-idrid;https://www.adcis.net/en/third-party/messidor2/,https://papers.miccai.org/miccai-2024/paper/0845_paper.pdf,https://papers.miccai.org/miccai-2024/282-Paper0845.html
Enhancing Gait Video Analysis in Neurodegenerative Diseases by Knowledge Augmentation in Vision Language Model,"Wang, Diwei;Yuan, Kun;Muller, Candice;Blanc, Frédéric;Padoy, Nicolas;Seo, Hyewon","Computer Aided Diagnosis, Treatment Response, and Outcome Prediction; Clinical Implementation and Monitoring of Imaging Solutions; Machine Learning - Interpretability / Explainability; Modalities - Video; Telemedicine and Mobile Health Imaging Technologies","We present a knowledge augmentation strategy for assessing the diagnostic groups and gait impairment from monocular gait videos. Based on a large-scale pre-trained Vision Language Model (VLM), our model learns and improves visual, textual, and numerical representations of patient gait videos, through a collective learning across three distinct modalities: gait videos, class-specific descriptions, and numerical gait parameters. Our specific contributions are two-fold: First, we adopt a knowledge-aware prompt tuning strategy to utilize the class-specific medical description in guiding the text prompt learning. Second, we integrate the paired gait parameters in the form of numerical texts to enhance the numeracy of the textual representation. Results demonstrate that our model not only significantly outperforms state-of-the-art methods in video-based classification tasks but also adeptly decodes the learned class-specific text features into natural language descriptions using the vocabulary of quantitative gait parameters. The code and the model will be made available at our project page: https://lisqzqng.github.io/GaitAnalysisVLM/.",https://lisqzqng.github.io/GaitAnalysisVLM/,,https://papers.miccai.org/miccai-2024/paper/2283_paper.pdf,https://papers.miccai.org/miccai-2024/283-Paper2283.html
Enhancing Gene Expression Prediction from Histology Images with Spatial Transcriptomics Completion,"Mejia, Gabriel;Ruiz, Daniela;Cárdenas, Paula;Manrique, Leonardo;Vega, Daniela;Arbeláez, Pablo",Modalities - Histopathology; Image-based Personalised Medicine; Integration of Imaging with Non-Imaging Biomarkers; Modalities - Integration of Imaging and Non-imaging Data,"Spatial Transcriptomics is a novel technology that aligns histology images with spatially resolved gene expression profiles. Although groundbreaking, it struggles with gene capture yielding high corruption in acquired data. Given potential applications, recent efforts have focused on predicting transcriptomic profiles solely from histology images. However, differences in databases, preprocessing techniques, and training hyperparameters hinder a fair comparison between methods. To address these challenges, we present a systematically curated and processed database collected from 26 public sources, representing an 8.6-fold increase compared to previous works. Additionally, we propose a state-of-the-art transformer-based completion technique for inferring missing gene expression, which significantly boosts the performance of transcriptomic profile predictions across all datasets. Altogether, our contributions constitute the most comprehensive benchmark of gene expression prediction from histology images to date and a stepping stone for future research on spatial transcriptomics.",https://github.com/BCV-Uniandes/SpaRED,http://157.253.243.29,https://papers.miccai.org/miccai-2024/paper/2459_paper.pdf,https://papers.miccai.org/miccai-2024/284-Paper2459.html
